Benchmark Program,Mutant,is Functionally different,Explaination,Usage
cfg,v9/cfg_test.c,Yes,"The mutated code has a change in the `g(int a)` function where the condition `if (a == 7)` always prints `""\n7\n""` regardless of the value of `a`, which is different from the original code","CompletionUsage(completion_tokens=51, prompt_tokens=835, total_tokens=886, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v24/cfg_test.c,Yes,"The mutated code has a discrepancy in the final conditional check: `if (a != 1)` always prints ""\n1\n"" regardless of the condition (line 55 in the mutated code)","CompletionUsage(completion_tokens=42, prompt_tokens=835, total_tokens=877, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v13/cfg_test.c,Yes,"The mutated version has a change in the `h(int a)` function where both branches of the if-else statement print ""\n-4\n"" (line 19 in the mutated code), which is different from the original code","CompletionUsage(completion_tokens=49, prompt_tokens=836, total_tokens=885, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v4/cfg_test.c,Yes,"The mutated version has a change in the `f` function where both branches of the `if` statement print ""greater than 13"", which is a functional difference from the original code  (Mutated code line 8)","CompletionUsage(completion_tokens=48, prompt_tokens=836, total_tokens=884, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v21/cfg_test.c,Yes,"The mutated code has a change in the `main` function where the condition `if (a == 19)` always prints `""\n19\n""` regardless of the condition, unlike the original code  (Line 19 in the mutated version)","CompletionUsage(completion_tokens=52, prompt_tokens=835, total_tokens=887, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v17/cfg_test.c,Yes,"The mutated version has a change in the `i(int a)` function where it prints ""\n100\n"" regardless of the value of `a` (line 22 in the mutated code)","CompletionUsage(completion_tokens=41, prompt_tokens=835, total_tokens=876, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v6/cfg_test.c,Yes,"The condition in the `g` function was changed from `a == 7` to `a <= 7` in the mutated version, affecting the output when `a` is less than 7","CompletionUsage(completion_tokens=44, prompt_tokens=837, total_tokens=881, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v15/cfg_test.c,Yes,"The condition in the `i` function was changed from `if (a == 100)` to `if (a <= 100)` in the mutated version, which affects the output when `a` is less than 100","CompletionUsage(completion_tokens=49, prompt_tokens=837, total_tokens=886, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v23/cfg_test.c,Yes,"The condition `if (a != 1)` in the original code is changed to `if (a >= 1)` in the mutated code, affecting the output when `a` is 1","CompletionUsage(completion_tokens=43, prompt_tokens=837, total_tokens=880, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v22/cfg_test.c,Yes,"The condition `if (a != 1)` in the original code is changed to `if (a <= 1)` in the mutated code, which affects the output when `a` is 1","CompletionUsage(completion_tokens=44, prompt_tokens=837, total_tokens=881, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v14/cfg_test.c,Yes,"The condition in the `i` function was changed from `if (a == 100)` to `if (a >= 100)` in the mutated version, which affects the output when `a` is 100 or greater","CompletionUsage(completion_tokens=49, prompt_tokens=837, total_tokens=886, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v2/cfg_test.c,Yes,"The condition in the function `f` was changed from `a > 13` to `a < 13` in the mutated version, which affects the output when `f` is called","CompletionUsage(completion_tokens=42, prompt_tokens=837, total_tokens=879, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
