Benchmark Program,Mutant,Explaination,Usage
cfg,v9/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=899, total_tokens=904, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v24/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=899, total_tokens=904, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v13/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=900, total_tokens=905, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v4/cfg_test.c,"No — the only change is in `f()`’s `else` branch (mutant: `void f(int a) { ... }`), which alters only what gets printed; control flow and all non-printf side effects remain identical.","CompletionUsage(completion_tokens=53, prompt_tokens=900, total_tokens=953, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v21/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=899, total_tokens=904, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v17/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=899, total_tokens=904, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v6/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=901, total_tokens=906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v15/cfg_test.c,No,"CompletionUsage(completion_tokens=4, prompt_tokens=901, total_tokens=905, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v23/cfg_test.c,"Yes
Line 1 (mutant): condition changed from `if (a != 1)` to `if (a >= 1)`, altering control flow for `a==1` and all `a>1` (which branch executes).","CompletionUsage(completion_tokens=54, prompt_tokens=901, total_tokens=955, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v22/cfg_test.c,"Yes
Line 1 (mutant): condition changed from `if (a != 1)` to `if (a <= 1)`, altering control flow for `a==1` and `a<1` (which branch executes).","CompletionUsage(completion_tokens=53, prompt_tokens=901, total_tokens=954, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v14/cfg_test.c,No,"CompletionUsage(completion_tokens=4, prompt_tokens=901, total_tokens=905, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v2/cfg_test.c,No,"CompletionUsage(completion_tokens=4, prompt_tokens=901, total_tokens=905, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v5/cfg_test.c,"No. The only change is in `g()` (`if (a == 7)` → `if (a >= 7)`), which only affects which `printf` runs and does not change control flow or side effects beyond output.","CompletionUsage(completion_tokens=51, prompt_tokens=901, total_tokens=952, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
